Feature-1,Feature-2,Feature-3,Feature-4,Target
0.562472198,-0.168364005,-0.192725223,-0.604524431,-0.198979188
-0.139921514,0.29182709,0.108241201,-0.215920606,0.838764442
0.103130783,0.290066524,-0.651908825,-0.122616998,0.928756825
0.005442366,0.516162961,-1.404612409,2.349181327,0.33954925
-1.338452759,-0.751155352,,0.237249623,1.906853561
-0.116650467,-2.189578853,-0.904682874,-0.423735047,1.065601773
-1.852419126,-0.717283229,-1.427635176,-0.276353745,-0.426145306
-0.647220053,0.044566289,-0.157547186,1.193116996,1.442376502
0.15376257,-0.312338022,-1.444974447,-1.138136153,0.191808347
1.649623946,0.746213317,1.19763292,-1.491771389,1.503848938
0.92611132,1.288307293,-2.31983096,0.982739468,0.52256001
1.140421333,0.270862832,-0.080976113,-1.666043525,0.198047843
-1.124808127,-0.915560169,1.446758898,-0.509748142,-0.832652822
0.454811744,-1.135450834,-0.215563501,-0.812702065,0.525281425
0.355747684,0.272956819,-2.265925015,0.153626465,-0.010309758
-0.674849551,-0.953768628,-2.161544453,0.027979116,-1.025437405
0.895207972,0.877977731,0.504456064,0.681790372,-1.144629414
0.923332343,-0.18943516,-0.061506255,-0.364703502,-0.157769547
0.563618112,0.213001146,-2.244154924,-0.596487798,0.690768802
0.388947973,-0.969593904,-2.070289837,-0.973053334,0.373066852
1.582548873,0.68671715,0.52659664,-0.43336484,0.156220332
-0.272828472,0.14470645,-0.940052275,-0.556986913,-0.389349153
0.274704975,0.401032269,-1.634192714,0.612012304,0.073647158
-0.032818551,0.909603794,-1.924974294,-0.9565065,-0.647208689
0.876200899,-1.516896473,-0.303485956,1.524926562,-0.479484098
-1.291381023,0.495651834,0.750114795,0.142301108,1.364510689
-0.389645553,1.055676405,-0.507913294,0.802415355,1.848401896
-0.057564746,0.675824619,0.161711619,0.676194025,-0.979124723
-0.050998686,-0.768719689,1.077650055,0.35519096,0.682709891
-0.673094051,0.899990961,0.002343991,-0.140015937,-0.664961822
-1.150401387,0.415791935,-1.249458733,-0.572326375,-0.62851147
-0.693695506,-1.223151576,-0.552829644,1.427232828,-0.309071776
0.086180166,-0.852355399,1.091223395,-1.113352321,-0.623830427
0.069799852,0.645198879,1.261484502,-0.214367296,0.079079162
0.95203243,0.158670846,-0.699688098,0.389495956,0.099491495
-0.078672491,-0.369418664,1.668985539,-1.57963156,-0.103566563
-1.335395978,1.910402515,-0.711996226,-1.54777384,2.208690089
-0.651438811,-0.151399377,1.394921353,-1.560834597,1.640375218
1.111376534,-0.29313846,-0.759891232,-0.86957732,1.879532548
0.972147683,-0.707666965,-0.754869169,2.011642935,0.04463273
-0.630901806,1.375271656,1.151765113,-0.401458733,0.356207202
-0.235760134,0.591025408,,0.155819682,0.347899628
